Temperature,index,value
40,Frequency,1000000.0
40,Frequency,926000.0
40,Frequency,858000.0
40,Frequency,794000.0
40,Frequency,736000.0
40,Frequency,681000.0
40,Frequency,631000.0
40,Frequency,584000.0
40,Frequency,541000.0
40,Frequency,501000.0
40,Frequency,464000.0
40,Frequency,430000.0
40,Frequency,398000.0
40,Frequency,369000.0
40,Frequency,341000.0
40,Frequency,316000.0
40,Frequency,293000.0
40,Frequency,271000.0
40,Frequency,251000.0
40,Frequency,233000.0
40,Frequency,215000.0
40,Frequency,200000.0
40,Frequency,185000.0
40,Frequency,171000.0
40,Frequency,158000.0
40,Frequency,147000.0
40,Frequency,136000.0
40,Frequency,126000.0
40,Frequency,117000.0
40,Frequency,108000.0
40,Frequency,100000.0
40,Frequency,92600.0
40,Frequency,85800.0
40,Frequency,79400.0
40,Frequency,73600.0
40,Frequency,68100.0
40,Frequency,63100.0
40,Frequency,58400.0
40,Frequency,54100.0
40,Frequency,50100.0
40,Frequency,46400.0
40,Frequency,43000.0
40,Frequency,39800.0
40,Frequency,36900.0
40,Frequency,34100.0
40,Frequency,31600.0
40,Frequency,29300.0
40,Frequency,27100.0
40,Frequency,25100.0
40,Frequency,23300.0
40,Frequency,21500.0
40,Frequency,19900.0
40,Frequency,18500.0
40,Frequency,17100.0
40,Frequency,15800.0
40,Frequency,14700.0
40,Frequency,13600.0
40,Frequency,12600.0
40,Frequency,11700.0
40,Frequency,10800.0
40,Frequency,10000.0
40,Frequency,9260.0
40,Frequency,8570.0
40,Frequency,7940.0
40,Frequency,7350.0
40,Frequency,6810.0
40,Frequency,6310.0
40,Frequency,5840.0
40,Frequency,5410.0
40,Frequency,5010.0
40,Frequency,4640.0
40,Frequency,4300.0
40,Frequency,3980.0
40,Frequency,3690.0
40,Frequency,3420.0
40,Frequency,3160.0
40,Frequency,2930.0
40,Frequency,2710.0
40,Frequency,2510.0
40,Frequency,2330.0
40,Frequency,2150.0
40,Frequency,2000.0
40,Frequency,1850.0
40,Frequency,1710.0
40,Frequency,1580.0
40,Frequency,1470.0
40,Frequency,1360.0
40,Frequency,1260.0
40,Frequency,1170.0
40,Frequency,1080.0
40,Frequency,1000.0
40,Frequency,926.0
40,Frequency,858.0
40,Frequency,794.0
40,Frequency,736.0
40,Frequency,681.0
40,Frequency,631.0
40,Frequency,584.0
40,Frequency,541.0
40,Frequency,501.0
40,Frequency,464.0
40,Frequency,430.0
40,Frequency,398.0
40,Frequency,369.0
40,Frequency,341.0
40,Frequency,316.0
40,Frequency,293.0
40,Frequency,271.0
40,Frequency,251.0
40,Frequency,233.0
40,Frequency,215.0
40,Frequency,200.0
40,Frequency,185.0
40,Frequency,171.0
40,Frequency,159.0
40,Frequency,147.0
40,Frequency,136.0
40,Frequency,126.0
40,Frequency,117.0
40,Frequency,108.0
40,Frequency,100.0
40,Frequency,92.6
40,Frequency,85.8
40,Frequency,79.4
40,Frequency,73.6
40,Frequency,68.1
40,Frequency,63.1
40,Frequency,58.4
40,Frequency,54.1
40,Frequency,50.1
40,Frequency,46.4
40,Frequency,43.0
40,Frequency,39.8
40,Frequency,36.9
40,Frequency,34.1
40,Frequency,31.6
40,Frequency,29.3
40,Frequency,27.1
40,Frequency,25.1
